name	domain	category	rounds	com_status	price	renewal	premium	fed_active	fed_dissolved	fed_total	fed_sample	verdict
Achillesforge	achillesforge.com	greek_roman_chad	v2	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Achillesworks	achillesworks.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Aegiscore	aegiscore.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Aegisforge	aegisforge.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Aegisworks	aegisworks.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Apexbeast	apexbeast.com	moggy_sigma	v2	TAKEN				0	0	0		TAKEN
Apexgrid	apexgrid.com	moggy_sigma	v2	TAKEN				1	0	1	ApexGrid Inc. (Active)	TAKEN
Apexridge	apexridge.com	moggy_sigma	v2	TAKEN				0	0	0		TAKEN
Apexsavage	apexsavage.com	moggy_sigma	v2	TAKEN				0	0	0		TAKEN
Apexstride	apexstride.com	moggy_sigma	v2	TAKEN				0	0	0		TAKEN
Apexvault	apexvault.com	moggy_sigma	v2	TAKEN				0	0	0		TAKEN
Apolloforge	apolloforge.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Apollovault	apollovault.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Apolloworks	apolloworks.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Aremvor	aremvor.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Argenta	argenta.com	enterprise_invented	v2	TAKEN				4	2	6	ARGENTA CALL CENTERS INC. CENTRE D'APPEL (Dissolved for non-co)	TAKEN
Atlasclad	atlasclad.com	greek_roman_chad	v2	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Atlasforge	atlasforge.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Atlasridge	atlasridge.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Atlasvault	atlasvault.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Atlasworks	atlasworks.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Aurelin	aurelin.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Avenarith	avenarith.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Avendris	avendris.com	latin_long	v6	TAKEN				0	0	0		TAKEN
Avronell	avronell.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Beastclad	beastclad.com	moggy_sigma	v2	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Beastedge	beastedge.com	moggy_sigma	v2	TAKEN				0	0	0		TAKEN
Beastforge	beastforge.com	moggy_sigma	v2	TAKEN				0	0	0		TAKEN
Beastsavage	beastsavage.com	moggy_sigma	v2	TAKEN				0	0	0		TAKEN
Beastvault	beastvault.com	moggy_sigma	v2	TAKEN				0	0	0		TAKEN
Belvanor	belvanor.com	latin_long	v6	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Boldfield	boldfield.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Boldgrove	boldgrove.com	two_word	v6	TAKEN				0	0	0		TAKEN
Boldport	boldport.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Boldridge	boldridge.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Boldstone	boldstone.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Boldwell	boldwell.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Branchwell	branchwell.com	two_word_pro	v1	TAKEN				0	0	0		TAKEN
Brassmere	brassmere.com	two_word	v6	TAKEN				0	0	0		TAKEN
Brawlsigma	brawlsigma.com	moggy_sigma	v2	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Brawlstride	brawlstride.com	moggy_sigma	v2	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Brawlvault	brawlvault.com	moggy_sigma	v2	TAKEN				0	0	0		TAKEN
Braxenor	braxenor.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Braxonova	braxonova.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Brendanos	brendanos.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Brendar	brendar.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Brendo	brendo.com	short_invented	v6	TAKEN				0	0	0		TAKEN
Brento	brento.com	tech_general	v5	TAKEN				1	1	2	Brento Flooring Canada Inc. (Dissolved for non-co)	TAKEN
Brevelta	brevelta.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Brevidor	brevidor.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Brevidos	brevidos.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Brevix	brevix.com	short_invented	v6	TAKEN				0	0	0		TAKEN
Brexa	brexa.com	tech_short	v3	TAKEN				0	0	0		TAKEN
Brexora	brexora.com	tech_short	v3	TAKEN				0	0	0		TAKEN
Bridvor	bridvor.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Brightforge	brightforge.com	two_word	v6	TAKEN				0	0	0		TAKEN
Brightwell	brightwell.com	two_word_pro	v1	TAKEN				0	1	1	BRIGHTWELL TECHNOLOGIES INC. (Inactive - Discontin)	TAKEN
Brivex	brivex.com	short_invented	v6	TAKEN				0	0	0		TAKEN
Brovenell	brovenell.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Broxa	broxa.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Brux	brux.com	tech_short	v3	TAKEN				1	0	1	Brux Holdings Ltd. (Active)	TAKEN
Calandel	calandel.com	enterprise_invented	v2	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calandor	calandor.com	tech_mid	v3	TAKEN				0	0	0		TAKEN
Calanence	calanence.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calant	calant.com	tech_modern	v3	TAKEN				0	0	0		TAKEN
Calanta	calanta.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Calantha	calantha.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Calantrix	calantrix.com	pro_invented_long	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calare	calare.com	tech_modern	v3	TAKEN				0	0	0		TAKEN
Calaris	calaris.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Calaros	calaros.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calatial	calatial.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calatic	calatic.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Calatide	calatide.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calatier	calatier.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calavos	calavos.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Calbase	calbase.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Calbaxis	calbaxis.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calbonia	calbonia.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calbria	calbria.com	tech_short	v3	TAKEN				0	0	0		TAKEN
Calcore	calcore.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Caldanti	caldanti.com	tech_modern	v3	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Caldara	caldara.com	modern_startup	v6	TAKEN				0	0	0		TAKEN
Caldek	caldek.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Caldenor	caldenor.com	pro_invented_short	v1	TAKEN				0	0	0		TAKEN
Calderon	calderon.com	tech_general	v5	TAKEN				1	1	2	INGRID CALDERON ENTERPRISES INC. (Dissolved by the cor)	TAKEN
Caldex	caldex.com	short_invented	v5,v6	TAKEN				2	0	2	Caldex Corp. (Active)	TAKEN
Caldix	caldix.com	short_invented	v6	TAKEN				0	0	0		TAKEN
Caldord	caldord.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Caldova	caldova.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Caldreth	caldreth.com	latin_long	v6	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Caldroma	caldroma.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Caldwell	caldwell.com	compound_modern	v1	TAKEN				8	12	20	LA FONDATION CALDWELL CALDWELL FOUNDATIO (Active)	TAKEN
Caldwellan	caldwellan.com	pro_invented_long	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Caldwin	caldwin.com	pro_invented_short	v1	TAKEN				0	0	0		TAKEN
