style	name	domain	price	regular	renewal	transfer	premium	avail	pork_error
root6	Ariuri	ariuri.com	11.08	11.08	11.08	11.08	no	yes	
root6	Axiiva	axiiva.com	11.08	11.08	11.08	11.08	no	yes	
root5	Axynx	axynx.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Begozi	begozi.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Bihitu	bihitu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Bireru	bireru.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Bisomo	bisomo.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Bucuz	bucuz.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Buwogi	buwogi.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Buzufe	buzufe.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Cakuc	cakuc.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Cedowa	cedowa.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Cenuge	cenuge.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Cipuja	cipuja.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Cirazi	cirazi.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Cizaby	cizaby.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Cufeb	cufeb.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Cugota	cugota.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Cuweg	cuweg.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Dafohe	dafohe.com	11.08	11.08	11.08	11.08	no	yes	
root6	Delyri	delyri.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Dofeg	dofeg.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Dubezi	dubezi.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Dufuri	dufuri.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Dugomi	dugomi.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Durewy	durewy.com	11.08	11.08	11.08	11.08	no	yes	
root6	Emaeli	emaeli.com	11.08	11.08	11.08	11.08	no	yes	
root6	Emaeta	emaeta.com	11.08	11.08	11.08	11.08	no	yes	
root6	Emaido	emaido.com	11.08	11.08	11.08	11.08	no	yes	
root6	Emaiza	emaiza.com	11.08	11.08	11.08	11.08	no	yes	
root6	Emauma	emauma.com	11.08	11.08	11.08	11.08	no	yes	
root6	Emaynx	emaynx.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Fakure	fakure.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Fegez	fegez.com	11.08	11.08	11.08	11.08	no	yes	
root6	Feryri	feryri.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Fivuza	fivuza.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Fizamu	fizamu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Fojacu	fojacu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Fokacu	fokacu.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Gehuk	gehuk.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Genavu	genavu.com	11.08	11.08	11.08	11.08	no	yes	
root6	Geruri	geruri.com	11.08	11.08	11.08	11.08	no	yes	
root6	Geryri	geryri.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Gibifi	gibifi.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Gicotu	gicotu.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Gijeg	gijeg.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Gocejy	gocejy.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Gofov	gofov.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Gokizy	gokizy.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Guhev	guhev.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Guhidu	guhidu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Gulire	gulire.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Guwof	guwof.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Hapuki	hapuki.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Hewozy	hewozy.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Hiwof	hiwof.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Hoduny	hoduny.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Hofuma	hofuma.com	11.08	11.08	11.08	11.08	no	yes	
root6	Ilyynx	ilyynx.com	11.08	11.08	11.08	11.08	no	yes	
root5	Inyri	inyri.com	11.08	11.08	11.08	11.08	no	yes	
root6	Iroena	iroena.com	11.08	11.08	11.08	11.08	no	yes	
root6	Iroeta	iroeta.com	11.08	11.08	11.08	11.08	no	yes	
root6	Iroira	iroira.com	11.08	11.08	11.08	11.08	no	yes	
root6	Iroiza	iroiza.com	11.08	11.08	11.08	11.08	no	yes	
root6	Irouri	irouri.com	11.08	11.08	11.08	11.08	no	yes	
root6	Iroyri	iroyri.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Jemugo	jemugo.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Jilami	jilami.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Jiluno	jiluno.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Joruju	joruju.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Jowuz	jowuz.com	11.08	11.08	11.08	11.08	no	yes	
pron5	Jugic	jugic.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Jukuhu	jukuhu.com	11.08	11.08	11.08	11.08	no	yes	
pron6	Jumefi	jumefi.com	11.08	11.08	11.08	11.08	no	yes	
