name	domain	length	price	renewal	premium	source	category_or_style	rounds	fed_active	fed_total	decided_at
Kociz	kociz.com	5	11.08	11.08	no	short	pron5				2026-05-08 21:42
Nyynx	nyynx.com	5	11.08	11.08	no	short	root5				2026-05-08 21:43
Rodug	rodug.com	5	11.08	11.08	no	short	pron5				2026-05-08 21:42
Axiiva	axiiva.com	6	11.08	11.08	no	short	root6				2026-05-08 21:44
Sakuby	sakuby.com	6	11.08	11.08	no	short	pron6				2026-05-08 21:44
Tidury	tidury.com	6	11.08	11.08	no	short	pron6				2026-05-08 21:44
Verond	verond.com	6	11.08	11.08	no	long	pro_invented_short	v1	0	0	2026-05-08 20:49
Welvor	welvor.com	6	11.08	11.08	no	long	tech_general	v5	0	0	2026-05-08 20:51
Cendore	cendore.com	7	11.08	11.08	no	long	tech_mid	v3	0	0	2026-05-08 20:49
Elmpath	elmpath.com	7	11.08	11.08	no	long	two_word_pro	v1	0	0	2026-05-08 20:24
Ervaron	ervaron.com	7	11.08	11.08	no	long	tech_general	v5	0	0	2026-05-08 20:30
Ivermel	ivermel.com	7	11.08	11.08	no	long	tech_general	v4	0	0	2026-05-08 20:31
Lumavos	lumavos.com	7	11.08	11.08	no	long	tech_general	v4	0	0	2026-05-08 20:34
Plymara	plymara.com	7	11.08	11.08	no	long	tech_general	v4	0	0	2026-05-08 20:50
Solavos	solavos.com	7	11.08	11.08	no	long	tech_general	v4	0	0	2026-05-08 20:50
Sondrik	sondrik.com	7	11.08	11.08	no	long	pro_invented_short	v1	0	0	2026-05-08 20:47
Tendrin	tendrin.com	7	11.08	11.08	no	long	pro_invented_short	v1	0	0	2026-05-08 20:47
Tovaron	tovaron.com	7	11.08	11.08	no	long	tech_general	v5	0	0	2026-05-08 20:47
Vernath	vernath.com	7	11.08	11.08	no	long	pro_invented_short	v1	0	0	2026-05-08 20:49
Caldanti	caldanti.com	8	11.08	11.08	no	long	tech_modern	v3	0	0	2026-05-08 20:49
Calraxis	calraxis.com	8	11.08	11.08	no	long	tech_latin_abstract	v3	0	0	2026-05-08 20:49
Iverando	iverando.com	8	11.08	11.08	no	long	tech_general	v5	0	0	2026-05-08 20:31
Lumarric	lumarric.com	8	11.08	11.08	no	long	pro_invented_short	v1	0	0	2026-05-08 20:34
Lumatial	lumatial.com	8	11.08	11.08	no	long	tech_general	v5	0	0	2026-05-08 20:34
Lumatier	lumatier.com	8	11.08	11.08	no	long	tech_general	v5	0	0	2026-05-08 20:34
Marvedos	marvedos.com	8	11.08	11.08	no	long	enterprise_invented	v2	0	0	2026-05-08 20:37
Sindalor	sindalor.com	8	11.08	11.08	no	long	tech_general	v4	0	0	2026-05-08 20:50
Solandel	solandel.com	8	11.08	11.08	no	long	enterprise_invented	v2	0	0	2026-05-08 20:46
Solbrith	solbrith.com	8	11.08	11.08	no	long	modern_abstract	v1	0	0	2026-05-08 20:46
Solderon	solderon.com	8	11.08	11.08	no	long	tech_general	v5	0	0	2026-05-08 20:46
Solvedos	solvedos.com	8	11.08	11.08	no	long	enterprise_invented	v2	0	0	2026-05-08 20:46
Strydora	strydora.com	8	11.08	11.08	no	long	tech_general	v4	0	0	2026-05-08 20:51
Calanence	calanence.com	9	11.08	11.08	no	long	tech_general	v5	0	0	2026-05-08 20:23
Holdfield	holdfield.com	9	11.08	11.08	no	long	two_word_pro	v1	0	0	2026-05-08 20:31
Lumanence	lumanence.com	9	11.08	11.08	no	long	tech_general	v5	0	0	2026-05-08 20:34
Pravantis	pravantis.com	9	11.08	11.08	no	long	latin_long	v6	0	0	2026-05-08 20:45
Solendrik	solendrik.com	9	11.08	11.08	no	long	pro_invented_long	v1	0	0	2026-05-08 20:46
Solendris	solendris.com	9	11.08	11.08	no	long	latin_long	v6	0	0	2026-05-08 20:46
Solitheon	solitheon.com	9	11.08	11.08	no	long	tech_general	v4	0	0	2026-05-08 20:50
Solovaris	solovaris.com	9	11.08	11.08	no	long	tech_general	v5	0	0	2026-05-08 20:46
Solwright	solwright.com	9	11.08	11.08	no	long	tech_general	v5	0	0	2026-05-08 20:46
Stelandor	stelandor.com	9	11.08	11.08	no	long	tech_mid	v3	0	0	2026-05-08 20:50
Holdwright	holdwright.com	10	11.08	11.08	no	long	two_word_pro	v1	0	0	2026-05-08 20:31
M34Digital	m34digital.com	10	11.08	11.08	no	long	personal_brand	v1	0	0	2026-05-08 20:35
