category	name	domain	whois_com	fed_active	fed_dissolved	fed_total	fed_sample	fed_error
greek_roman_chad	Achillesworks	achillesworks.com	TAKEN	0	0	0		
greek_roman_chad	Aegiscore	aegiscore.com	TAKEN	0	0	0		
greek_roman_chad	Aegisforge	aegisforge.com	TAKEN	0	0	0		
greek_roman_chad	Aegisworks	aegisworks.com	TAKEN	0	0	0		
moggy_sigma	Apexbeast	apexbeast.com	TAKEN	0	0	0		
moggy_sigma	Apexgrid	apexgrid.com	TAKEN	1	0	1	ApexGrid Inc. (Active)	
moggy_sigma	Apexridge	apexridge.com	TAKEN	0	0	0		
moggy_sigma	Apexsavage	apexsavage.com	TAKEN	0	0	0		
moggy_sigma	Apexstride	apexstride.com	TAKEN	0	0	0		
moggy_sigma	Apexvault	apexvault.com	TAKEN	0	0	0		
greek_roman_chad	Apolloforge	apolloforge.com	TAKEN	0	0	0		
greek_roman_chad	Apollovault	apollovault.com	TAKEN	0	0	0		
greek_roman_chad	Apolloworks	apolloworks.com	TAKEN	0	0	0		
enterprise_invented	Argenta	argenta.com	TAKEN	4	2	6	ARGENTA CALL CENTERS INC. CENTRE D'APPEL (Dissolved for non-co)	
greek_roman_chad	Atlasforge	atlasforge.com	TAKEN	0	0	0		
greek_roman_chad	Atlasridge	atlasridge.com	TAKEN	0	0	0		
greek_roman_chad	Atlasvault	atlasvault.com	TAKEN	0	0	0		
greek_roman_chad	Atlasworks	atlasworks.com	TAKEN	0	0	0		
enterprise_invented	Aurelin	aurelin.com	TAKEN	0	0	0		
moggy_sigma	Beastedge	beastedge.com	TAKEN	0	0	0		
moggy_sigma	Beastforge	beastforge.com	TAKEN	0	0	0		
moggy_sigma	Beastsavage	beastsavage.com	TAKEN	0	0	0		
moggy_sigma	Beastvault	beastvault.com	TAKEN	0	0	0		
tech_general	Boldfield	boldfield.com	TAKEN	0	0	0		
tech_general	Boldport	boldport.com	TAKEN	0	0	0		
tech_general	Boldridge	boldridge.com	TAKEN	0	0	0		
tech_general	Boldstone	boldstone.com	TAKEN	0	0	0		
tech_general	Boldwell	boldwell.com	TAKEN	0	0	0		
two_word_pro	Branchwell	branchwell.com	TAKEN	0	0	0		
moggy_sigma	Brawlvault	brawlvault.com	TAKEN	0	0	0		
tech_general	Brendar	brendar.com	TAKEN	0	0	0		
tech_general	Brento	brento.com	TAKEN	1	1	2	Brento Flooring Canada Inc. (Dissolved for non-co)	
tech_short	Brexa	brexa.com	TAKEN	0	0	0		
tech_short	Brexora	brexora.com	TAKEN	0	0	0		
two_word_pro	Brightwell	brightwell.com	TAKEN	0	1	1	BRIGHTWELL TECHNOLOGIES INC. (Inactive - Discontin)	
enterprise_invented	Broxa	broxa.com	TAKEN	0	0	0		
tech_short	Brux	brux.com	TAKEN	1	0	1	Brux Holdings Ltd. (Active)	
tech_mid	Calandor	calandor.com	TAKEN	0	0	0		
tech_modern	Calant	calant.com	TAKEN	0	0	0		
enterprise_invented	Calanta	calanta.com	TAKEN	0	0	0		
tech_general	Calantha	calantha.com	TAKEN	0	0	0		
tech_modern	Calare	calare.com	TAKEN	0	0	0		
tech_general	Calaris	calaris.com	TAKEN	0	0	0		
tech_general	Calatic	calatic.com	TAKEN	0	0	0		
tech_general	Calavos	calavos.com	TAKEN	0	0	0		
tech_general	Calbase	calbase.com	TAKEN	0	0	0		
